,东,东北,东南,交易权属,产权年限,供暖方式,北,南,卫,厅,厨,室,小区名称,建成年代,建筑类型,建筑结构,建筑面积,总楼层,户型结构,房屋年限,房屋用途,房权所属,挂牌时间,梯户比例,楼层,片区,行政区域,装修情况,西,西北,西南,配备电梯,实际成交价,预测价,相对误差
0,,,,已购公房,70.0,集中供暖,1.0,1.0,1.0,1.0,1.0,2.0,邮局宿舍,1997.0,板楼,混合结构,49.7,6.0,平层,满五年,普通住宅,非共有,38.0,0.3333333333333333,顶层,颐和园,海淀,其他,,,,无,396.0,397.61404793580766,0.004075878625776924
1,,,,已购公房,70.0,集中供暖,,1.0,1.0,1.0,1.0,2.0,北无宿舍,1981.0,板楼,混合结构,50.5,5.0,平层,满五年,普通住宅,非共有,194.0,0.3333333333333333,中楼层,紫竹桥,海淀,精装,,,,无,470.0,528.7174980308451,0.12493084687413862
2,,,1.0,已购公房,70.0,集中供暖,,,1.0,1.0,1.0,2.0,玉海园二里,1999.0,板塔结合,钢混结构,78.9,11.0,平层,满五年,普通住宅,非共有,166.0,0.25,中楼层,玉泉路,海淀,简装,,,,有,555.0,534.805191764957,0.036387041864942266
3,,,1.0,商品房,70.0,集中供暖,,,1.0,1.0,1.0,2.0,皂君东里,1985.0,板楼,混合结构,55.0,6.0,平层,满五年,普通住宅,非共有,391.0,0.3333333333333333,低楼层,皂君庙,海淀,其他,,,,无,600.0,504.27567484362726,0.1595405419272879
4,,,,央产房,70.0,集中供暖,1.0,1.0,1.0,1.0,1.0,3.0,教委计生委大院,1995.0,板楼,混合结构,86.0,7.0,平层,满五年,普通住宅,非共有,262.0,0.5,低楼层,中关村,海淀,精装,,,,无,900.0,946.3143575448721,0.05146039727208012
5,,,,商品房,70.0,集中供暖,1.0,1.0,1.0,1.0,1.0,2.0,半导体宿舍,1983.0,板楼,混合结构,62.4,6.0,平层,满五年,普通住宅,非共有,134.0,0.3333333333333333,低楼层,学院路,海淀,精装,,,,无,555.0,514.9555270901672,0.07215220344114026
6,,,,商品房,70.0,集中供暖,1.0,1.0,2.0,1.0,1.0,3.0,百朗园,2000.0,板塔结合,钢混结构,173.27,17.0,复式,满五年,普通住宅,共有,358.0,0.2,中楼层,五棵松,海淀,精装,,,,有,1000.0,1134.7552084236233,0.13475520842362335
7,,,,商品房,70.0,自供暖,1.0,1.0,1.0,1.0,1.0,2.0,车公庄西路27号院,1983.0,板楼,混合结构,57.16,6.0,平层,满五年,普通住宅,非共有,243.0,0.3333333333333333,底层,紫竹桥,海淀,毛坯,,,,无,505.0,522.1690317932416,0.033998082758894314
8,,,,已购公房,70.0,集中供暖,1.0,1.0,1.0,1.0,1.0,2.0,科源小区,1981.0,板楼,混合结构,60.7,6.0,平层,满五年,普通住宅,非共有,132.0,0.3333333333333333,顶层,五道口,海淀,其他,,,,无,659.0,610.9013803712627,0.07298728319990487
9,,,,商品房,70.0,集中供暖,1.0,1.0,1.0,1.0,1.0,1.0,铁西小区,1990.0,板楼,混合结构,46.0,5.0,平层,满五年,普通住宅,非共有,217.0,0.3333333333333333,顶层,军博,海淀,简装,,,,无,310.0,390.18511126084354,0.2586616492285276
10,,,,商品房,70.0,集中供暖,1.0,1.0,1.0,1.0,1.0,2.0,榆苑公寓,1996.0,板楼,混合结构,57.7,7.0,平层,满五年,普通住宅,非共有,326.0,0.3333333333333333,高楼层,双榆树,海淀,简装,,,,无,538.0,487.815490903542,0.09327975668486614
11,,,,已购公房,70.0,集中供暖,,1.0,1.0,1.0,1.0,2.0,花园路3号院,1990.0,塔楼,钢混结构,52.7,24.0,平层,满五年,普通住宅,非共有,218.0,0.25,高楼层,牡丹园,海淀,简装,,,,有,476.0,476.9427529798302,0.0019805734870381826
