,交易权属,产权年限,供暖方式,小区名称,建成年代,建筑类型,建筑结构,建筑面积,总价,总楼层,户型结构,房屋年限,房屋用途,房权所属,挂牌时间,梯户比例,楼层,片区,行政区域,装修情况,配备电梯,室,厅,厨,卫,西北,东,西,南,东南,东北,北,西南
1433,已购公房,70.0,集中供暖,骚子营,1991.0,板楼,混合结构,75.0,537.0,6.0,平层,满五年,普通住宅,非共有,133,0.3333333333333333,低楼层,颐和园,海淀,简装,无,3,1,1,1,0,0,0,1,0,0,1,0
1434,已购公房,70.0,集中供暖,骚子营,1993.0,板楼,混合结构,60.91,416.0,6.0,平层,满五年,普通住宅,非共有,132,0.5,中楼层,颐和园,海淀,简装,无,2,1,1,1,0,0,0,1,0,0,1,0
1435,商品房,70.0,集中供暖,骚子营,1985.0,板楼,混合结构,54.66,383.0,6.0,平层,满五年,普通住宅,非共有,187,0.5,高楼层,颐和园,海淀,精装,无,2,1,1,1,0,0,0,1,0,0,1,0
1436,商品房,70.0,集中供暖,骚子营,1993.0,板楼,混合结构,61.4,463.0,6.0,平层,满五年,普通住宅,非共有,285,0.5,顶层,颐和园,海淀,精装,无,2,1,1,1,0,0,0,1,0,0,1,0
1733,已购公房,70.0,集中供暖,德胜门西大街甲5号,1998.0,塔楼,钢混结构,53.4,408.0,12.0,平层,满五年,普通住宅,非共有,114,0.2,中楼层,新街口,海淀,其他,有,1,1,1,1,0,0,1,0,0,0,0,0
1734,商品房,70.0,集中供暖,德胜门西大街甲5号,1986.0,板楼,混合结构,55.5,453.0,6.0,平层,满五年,普通住宅,非共有,89,0.5,底层,新街口,海淀,简装,无,2,1,1,1,0,0,0,1,0,0,1,0
1735,商品房,70.0,集中供暖,德胜门西大街甲5号,1986.0,塔楼,钢混结构,62.7,500.0,16.0,平层,满五年,普通住宅,非共有,155,0.2857142857142857,高楼层,新街口,海淀,简装,有,2,1,1,1,0,0,0,0,0,1,0,0
1736,商品房,70.0,集中供暖,德胜门西大街甲5号,1985.0,塔楼,钢混结构,44.5,408.0,16.0,平层,满五年,普通住宅,非共有,208,0.2857142857142857,中楼层,新街口,海淀,精装,有,1,1,1,1,0,0,0,1,0,0,0,0
1737,商品房,70.0,集中供暖,德胜门西大街甲5号,1983.0,板楼,混合结构,53.3,445.0,6.0,平层,满五年,普通住宅,非共有,217,0.3333333333333333,高楼层,新街口,海淀,精装,无,2,1,1,1,0,0,0,1,0,0,0,0
1739,商品房,70.0,集中供暖,德胜门西大街甲5号,1986.0,塔楼,钢混结构,68.7,515.0,16.0,平层,满五年,普通住宅,非共有,166,0.2857142857142857,高楼层,新街口,海淀,简装,有,2,1,1,1,0,1,0,0,0,0,1,0
